1	4250.27	4250.27	4250.27	4250.27	4212.31	0.08	0.06	0.27	0.11	0.09
2	7377.16	7372.7	7376.4	7375.57	7376.09	0.0	0.08	0.41	0.23	0.76
3	8941.15	8894.77	8930.72	8930.99	8935.46	0.01	0.09	0.51	0.5	1.86
4	3896.03	3875.38	3866.93	3886.23	3836.12	0.01	0.09	0.45	0.38	0.25
5	5305.71	5258.26	5266.21	5299.79	5299.79	0.01	0.13	0.78	0.6	3.08

1	4250.27	4250.27	4250.27	4250.27	4212.31	0.1	0.07	0.56	0.1	0.09
2	7377.16
5	5305.71	5258.26	5276.77	5299.79	5296.53	0.09	0.18	2.4	0.71	9.01

5	5305.71	5258.26	5276.77	5299.79	5291.95	0.09	0.26	3.88	0.66	13.55

1	4250.27	4250.27	4250.27	4250.27	4212.31	0.1	0.06	0.87	0.1	0.1
